what,kind,bundleId,bundleVersion,description,time
locale,sysinfo,,,"pt_BR",1582120965612
processors,sysinfo,,,"4",1582120965612
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1582120965612
java.runtime.version,sysinfo,,,"1.8.0_231-b11",1582120965612
java.specification.name,sysinfo,,,"Java Platform API Specification",1582120965612
java.specification.vendor,sysinfo,,,"Oracle Corporation",1582120965612
java.specification.version,sysinfo,,,"1.8",1582120965612
java.vendor,sysinfo,,,"Oracle Corporation",1582120965612
java.version,sysinfo,,,"1.8.0_231",1582120965612
java.vm.info,sysinfo,,,"mixed mode",1582120965612
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1582120965612
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1582120965612
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1582120965612
java.vm.specification.version,sysinfo,,,"1.8",1582120965612
java.vm.vendor,sysinfo,,,"Oracle Corporation",1582120965612
java.vm.version,sysinfo,,,"25.231-b11",1582120965612
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1582120965734
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1582120965780
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1582120967619
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1582120973847
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1582120974183
started,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1582120974249
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1582120976530
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1582121049796
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1582121061418
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1582305182082
started,bundle,org.eclipse.osgi,3.6.1.R36x_v20100806,"org.eclipse.osgi",1582305182083
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1582305182084
started,bundle,com.ibm.icu,4.2.1.v20100412,"com.ibm.icu",1582305182114
started,bundle,org.eclipse.compare.core,3.5.100.I20100526-0800,"org.eclipse.compare.core",1582305182150
started,bundle,org.eclipse.core.contenttype,3.4.100.v20100505-1235,"org.eclipse.core.contenttype",1582305182150
started,bundle,org.eclipse.core.databinding.observable,1.3.0.I20100601-0800,"org.eclipse.core.databinding.observable",1582305182266
started,bundle,org.eclipse.core.expressions,3.4.200.v20100505,"org.eclipse.core.expressions",1582305182268
started,bundle,org.eclipse.core.filebuffers,3.5.100.v20100520-0800,"org.eclipse.core.filebuffers",1582305182270
started,bundle,org.eclipse.core.filesystem,1.3.1.R36x_v20100727-0745,"org.eclipse.core.filesystem",1582305182305
started,bundle,org.eclipse.core.jobs,3.5.1.R36x_v20100824,"org.eclipse.core.jobs",1582305182305
started,bundle,org.eclipse.core.net,1.2.100.I20100511-0800,"org.eclipse.core.net",1582305182405
started,bundle,org.eclipse.core.resources,3.6.0.R36x_v20100825-0600,"org.eclipse.core.resources",1582305182551
started,bundle,org.eclipse.core.runtime,3.6.0.v20100505,"org.eclipse.core.runtime",1582305182553
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1582305182578
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20100517,"org.eclipse.core.runtime.compatibility.auth",1582305182579
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1582305182580
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1582305182636
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.0.R201005261100,"org.eclipse.epp.usagedata.gathering",1582305182636
started,bundle,org.eclipse.epp.usagedata.recording,1.3.0.R201005261100,"org.eclipse.epp.usagedata.recording",1582305182637
started,bundle,org.eclipse.equinox.app,1.3.1.R36x_v20100803,"org.eclipse.equinox.app",1582305182638
started,bundle,org.eclipse.equinox.common,3.6.0.v20100503,"org.eclipse.equinox.common",1582305182638
started,bundle,org.eclipse.equinox.ds,1.2.1.R36x_v20100803,"org.eclipse.equinox.ds",1582305182639
started,bundle,org.eclipse.equinox.event,1.2.0.v20100503,"org.eclipse.equinox.event",1582305182640
started,bundle,org.eclipse.equinox.p2.core,2.0.2.R36x_v20100804,"org.eclipse.equinox.p2.core",1582305182640
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.202.R36x_v20100727,"org.eclipse.equinox.p2.directorywatcher",1582305182641
started,bundle,org.eclipse.equinox.p2.engine,2.0.0.v20100606,"org.eclipse.equinox.p2.engine",1582305182641
started,bundle,org.eclipse.equinox.p2.metadata,2.0.0.v20100601,"org.eclipse.equinox.p2.metadata",1582305182642
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.1.0.v20100513,"org.eclipse.equinox.p2.metadata.repository",1582305182643
started,bundle,org.eclipse.equinox.p2.operations,2.0.0.v20100510,"org.eclipse.equinox.p2.operations",1582305182643
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.0.v20100525,"org.eclipse.equinox.p2.reconciler.dropins",1582305182683
started,bundle,org.eclipse.equinox.p2.repository,2.0.1.R36x_v20100823,"org.eclipse.equinox.p2.repository",1582305182785
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.0.v20100507-1815,"org.eclipse.equinox.p2.ui.sdk.scheduler",1582305182786
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.101.R36x_v20100823,"org.eclipse.equinox.p2.updatechecker",1582305182787
started,bundle,org.eclipse.equinox.preferences,3.3.0.v20100503,"org.eclipse.equinox.preferences",1582305182787
started,bundle,org.eclipse.equinox.registry,3.5.0.v20100503,"org.eclipse.equinox.registry",1582305182874
started,bundle,org.eclipse.equinox.security,1.0.200.v20100503,"org.eclipse.equinox.security",1582305183150
started,bundle,org.eclipse.equinox.util,1.0.200.v20100503,"org.eclipse.equinox.util",1582305183151
started,bundle,org.eclipse.help,3.5.0.v20100524,"org.eclipse.help",1582305183223
started,bundle,org.eclipse.jdt.core,3.6.1.v_A68_R36x,"org.eclipse.jdt.core",1582305183305
started,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20100520-0800,"org.eclipse.jdt.core.manipulation",1582305183307
started,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1582305183421
started,bundle,org.eclipse.jdt.launching,3.5.100.v20100526,"org.eclipse.jdt.launching",1582305183460
started,bundle,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui",1582305183460
started,bundle,org.eclipse.jface,3.6.1.M20100825-0800,"org.eclipse.jface",1582305183537
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1582305183537
started,bundle,org.eclipse.ltk.core.refactoring,3.5.100.v20100526-0800,"org.eclipse.ltk.core.refactoring",1582305183575
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1582305183657
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1582305183658
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1582305183737
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1582305183737
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1582305183801
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1582305183803
started,bundle,org.eclipse.mylyn.context.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.ui",1582305183917
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1582305183917
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1582305183972
started,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1582305183973
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1582305184050
started,bundle,org.eclipse.team.core,3.5.100.R36x_v20100825-0800,"org.eclipse.team.core",1582305184069
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1582305184075
started,bundle,org.eclipse.team.ui,3.5.101.R36x_v20100825-0800,"org.eclipse.team.ui",1582305184114
started,bundle,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui",1582305184203
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1582305184205
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1582305184205
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1582305184225
started,bundle,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.ide",1582305184308
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1582305184315
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1582305184316
started,bundle,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"org.eclipse.ui.workbench",1582305184333
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1582305184363
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1582305184365
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1582305184473
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1582305184474
os,sysinfo,,,"win32",1582305184477
arch,sysinfo,,,"x86",1582305184477
ws,sysinfo,,,"win32",1582305184477
locale,sysinfo,,,"pt_BR",1582305184477
processors,sysinfo,,,"4",1582305184477
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1582305184477
java.runtime.version,sysinfo,,,"1.8.0_231-b11",1582305184477
java.specification.name,sysinfo,,,"Java Platform API Specification",1582305184477
java.specification.vendor,sysinfo,,,"Oracle Corporation",1582305184478
java.specification.version,sysinfo,,,"1.8",1582305184478
java.vendor,sysinfo,,,"Oracle Corporation",1582305184478
java.version,sysinfo,,,"1.8.0_231",1582305184478
java.vm.info,sysinfo,,,"mixed mode",1582305184478
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1582305184478
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1582305184478
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1582305184478
java.vm.specification.version,sysinfo,,,"1.8",1582305184478
java.vm.vendor,sysinfo,,,"Oracle Corporation",1582305184478
java.vm.version,sysinfo,,,"25.231-b11",1582305184478
started,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1582305240387
started,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1582305240442
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1582305240953
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1582305264219
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1582305266772
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1582305270792
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1582305272530
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1582305281655
started,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1582305281750
executed,command,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1582305282035
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1582305330432
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1582305360182
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1582305364724
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1582305373732
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.edit.text.java.add.javadoc.comment",1582305376834
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1582305382696
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1582305392854
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1582305395953
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1582305402368
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1582305412376
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1582305414010
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1582305439902
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1582305442010
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1582305444875
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1582305447052
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1582305451804
started,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1582305452089
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1582305476182
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1582305478372
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1582305479823
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1582305487898
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1582305489339
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1582305489410
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1582305491169
opened,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1582305493023
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1582305506436
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1582305518941
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1582305520977
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1582305523226
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1582305530511
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1582305531715
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1582305539351
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1582305590568
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1582305601444
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1582305625733
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1582305633245
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1582305656168
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1582305697848
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1582305706638
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1582305735971
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1582305739244
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1582305743719
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1582305746563
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1582305747828
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1582305764340
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1582306210280
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1582306225287
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1582306267059
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1582306284637
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1582306297114
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1582306298474
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1582306311979
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1582306312767
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1582306319145
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1582306321629
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1582306322652
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1582306324645
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1582306325574
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1582306333566
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1582306334743
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1582306337066
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1582306347722
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1582306358431
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1582306359671
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1582306360270
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1582306387221
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1582306388478
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1582306399031
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1582306482339
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1582306654320
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1582306716818
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1582306719304
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1582306730294
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1582306733878
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1582306791254
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1582306800335
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1582306802597
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.close",1582306802602
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1582306803419
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1582306830242
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1582307301392
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1582307354144
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1582307357298
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1582307358745
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1582307359861
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1582307418793
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1582307433781
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1582307436191
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1582307442321
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1582307562198
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1582307564419
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1582307567477
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1582307571906
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1582307574324
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1582307576001
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1582307606797
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1582307616893
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1582307623326
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1582307634581
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1582307654494
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1582307659754
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1582307664215
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1582307669217
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1582307675587
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1582307750230
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1582307772885
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1582307775920
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1582307799887
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1582307802965
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1582307804855
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1582307833695
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1582307843637
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1582307856664
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1582307858797
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1582307865485
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1582307866640
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1582307876757
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1582307908172
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1582307908942
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1582307983689
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1582307985787
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1582307991577
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1582307992845
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1582307998869
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1582308004333
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1582308008000
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1582308016537
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1582308017553
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1582308033437
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1582308106759
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1582308107536
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1582308110209
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1582308115819
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1582308118077
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1582308132900
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1582308163043
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1582308170775
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1582308206679
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1582308209745
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1582308210999
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1582308211006
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1582308213280
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1582308214344
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1582308215080
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1582308246095
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1582308259521
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1582308282984
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1582308304464
